Time,Latitude,Longitude,RowIndex,ColumnIndex,TBH10r2,TBV10r2,TBH18r2,TBV18r2,TBH23r2,TBV23r2,TBH36r2,TBV36r2,TBH89r2,TBV89r2,VegetationRoughnessNPD,SoilMoistureNPD,RetrievalQualityFlagNPD,SoilMoistureSCA,RetrievalQualityFlagSCA,FlagCountAllSamples,FlagCountGoodSamples,FlagCountRFI,FlagCountInvalidTBRange,FlagCountWater,FlagCountIce,FlagCountSnow,FlagCountFrozenGround,FlagCountRain,FlagCountWetland,FlagCountUrban,FlagCountLow2ModerateVWC,FlagCountDenseVWC,FlagCountMissingSoilTexture,FlagCountMissingNDVI,year,month,day
1008484919.7970804,-4.0978184,-80.8479,314,381,261.69,277.47,270.8,281.46,280.07,286.71997,274.84998,282.93997,281.94998,285.93,2.2660484,0.10933692,0.0,0.085797645,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484922.4445666,-4.218023,-80.944275,315,381,259.72998,277.37146,268.10794,280.6902,278.37616,286.02655,272.2583,281.81842,280.7904,285.35632,1.8378792,0.20560768,0.0,0.060359158,0.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484925.2070163,-4.398184,-80.96043,316,381,268.4349,282.3914,272.77432,283.13748,280.5654,286.94046,274.8757,282.67148,281.78018,285.51584,1.6321068,0.16995227,0.0,0.028534299,0.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484927.926139,-4.5903516,-80.95464,317,381,266.91876,281.84277,269.95926,281.99258,278.6858,285.879,272.15887,281.3146,280.96603,285.06638,1.0388374,0.121881895,0.0,0.01764663,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484930.6386064,-4.787798,-80.939644,318,381,255.5082,278.80325,260.45844,279.09122,273.3022,284.32535,264.41513,279.07285,278.5333,284.3981,0.87011147,0.12466967,0.0,0.028908903,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484933.2234404,-4.9620385,-80.94679,319,381,243.89413,275.0796,250.74745,275.65137,267.6033,282.17758,256.83237,276.07697,275.8037,283.29758,0.7418537,0.12056829,0.0,0.023437312,0.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484936.1785142,-5.179252,-80.92509,320,381,241.24515,279.00998,249.16968,278.17673,267.22403,283.80823,255.40796,277.12042,274.5625,282.656,0.89118385,0.11307594,0.0,0.01218755,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484937.7953686,-5.3175974,-80.87968,321,381,227.65,272.12,237.08,272.54,260.46,280.74,245.23999,273.22998,272.02,282.07,0.58091164,0.09600422,0.0,0.06519259,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484874.0303924,-1.1027981,-80.58671,299,382,253.97202,269.1669,263.83383,275.87943,276.8266,283.4437,269.70883,278.84033,282.17627,285.44568,1.2791805,0.13125862,0.0,0.29256368,0.0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2024,12,16
1008484876.3012726,-1.2390817,-80.6171,300,382,253.28,270.38998,260.31,275.25,274.75998,282.87003,265.76,277.78,281.06,284.90002,0.53437805,0.22446632,0.0,0.33588803,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2024,12,16
1008484879.4322274,-1.4754972,-80.5906,301,382,263.31778,274.41776,267.4175,277.2934,277.9719,283.48672,271.47382,279.2602,282.20587,284.5926,0.59043884,0.18401302,0.0,0.45482808,0.0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2024,12,16
1008484883.8005208,-1.7871059,-80.579346,303,382,255.71999,271.57,260.94998,274.53,274.55,281.87,266.11,276.91998,281.49,284.72998,0.65517235,0.18360786,0.0,0.4692098,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2024,12,16
1008484888.3000724,-2.1054225,-80.57122,304,382,264.62,276.08,270.43002,280.08,280.22998,285.50998,274.54,281.99,283.29,286.33002,0.96670914,0.11269302,0.0,0.17195834,0.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2024,12,16
1008484890.7126693,-2.2503827,-80.60506,305,382,250.9714,271.32138,258.84888,275.95602,274.5636,283.403,264.41513,278.09067,280.7895,285.56232,0.69654846,0.091039844,0.0,0.22545725,0.0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2024,12,16
1008484916.8754684,-4.0032673,-80.67794,314,382,273.6485,283.14407,279.34317,285.4206,284.8559,288.67435,281.5198,285.9866,284.5987,286.77835,2.8347664,0.21482931,0.0,0.08225334,0.0,7,7,0,0,0,0,0,0,0,0,0,1,0,0,0,2024,12,16
1008484919.8730382,-4.192978,-80.702415,315,382,277.45047,283.21542,281.19745,284.45117,284.98157,287.54074,282.07663,284.7736,284.9933,286.52588,3.8796272,0.16303572,0.0,0.09233363,0.0,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,2024,12,16
1008484922.7560211,-4.4014554,-80.68374,316,382,276.28677,282.4618,279.45685,283.2638,283.74115,286.75986,280.6962,283.95956,284.6983,286.0865,3.2578468,0.1081951,0.0,0.039031435,0.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484925.7389812,-4.59237,-80.707184,317,382,272.51932,284.21487,277.031,284.71277,282.84436,287.85165,278.76572,284.28217,283.94382,286.17108,2.5239487,0.09979794,0.0,0.01630322,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484928.651004,-4.802606,-80.69024,318,382,268.27332,283.89444,273.4142,284.33087,280.79068,287.2296,275.45026,283.1522,282.81006,285.77145,1.9733868,0.11270851,0.0,0.025573507,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484931.4327974,-4.987747,-80.69924,319,382,266.2145,284.9488,271.0245,284.89792,279.3207,287.39203,273.25262,283.29922,281.642,285.2734,1.4923134,0.11403375,0.0,0.011524692,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484934.3529756,-5.1879754,-80.69795,320,382,263.1482,286.311,266.99362,284.3412,277.2392,287.20673,269.75574,282.49722,280.13507,284.82556,1.273056,0.11690789,0.0,0.009999999,0.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484937.0939028,-5.3760195,-80.69505,321,382,254.60985,281.9874,259.87973,281.05365,273.28183,285.38803,263.83246,280.25107,278.04462,284.3416,0.9950485,0.09875059,0.0,0.013016458,0.0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,12,16
1008484869.0639124,-0.90009886,-80.38316,298,383,261.1626,274.71597,270.24374,279.63596,280.27515,285.32242,275.29343,281.58112,284.29135,285.8484,2.1885796,0.19463983,0.0,0.2795648,0.0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,2024,12,16
1008484871.8722916,-1.0642694,-80.42724,299,383,271.6025,279.3828,276.59354,281.98123,283.03513,286.4726,279.26022,283.02518,284.70944,286.02512,2.4190884,0.19307478,0.0,0.14441235,0.0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,2024,12,16
1008484874.8428632,-1.2659845,-80.432304,300,383,274.3463,280.04544,278.0848,282.4395,283.37592,286.33984,279.95007,283.20996,284.6947,285.74152,1.9292583,0.19467378,0.0,0.09458812,0.0,8,8,0,0,0,0,0,0,0,0,0,8,0,0,0,2024,12,16
